CNES,FANTASIA
0195847,POSTO VICENTINA /  S. LEOPOLDO
0195855,POSTO RIO BRANCO  /  S. LEOPOLDO
0195863,POSTO PAIM /  S. LEOPOLDO
0195871,POSTO LIGA FEMININA DE COMBATE AO CÂNCER / S. LEOPOLDO
0195898,POSTO JARDIM AMÉRICA  / S. LEOPOLDO
0195901,POSTO SANTOS DUMONT   PSF II  / S. LEOPOLDO
0195928,PACS  /  S. LEOPOLDO
0195936,POSTO MATERNO INFANTIL
0195944,POSTO SAE  / S. LEOPOLDO
0195952,POSTO TRENSURB / S. LEOPOLDO
0195960,POSTO RIO DOS SINOS /  S. LEOPOLDO
0195979,POSTO SANTO ANDRÉ / S. LEOPOLDO
0195987,POSTO SAÚDE MENTAL CAPS II / SAO LEOPOLDO
0195995,POSTO PLANEJAMENTO FAMILIAR  /  S. LEOPOLDO
0196002,POSTO CAMPESTRE   PSF I  / S. LEOPOLDO
0196010,POSTO PAME  / S. LEOPOLDO
0196029,UBAM SCHARLAU  / S. LEOPOLDO
0196037,POSTO SEMSAD  /  S. LEOPOLDO
0196045,UBAM CAMPINA  / S. LEOPOLDO
0196053,UBAM FEITORIA  / S. LEOPOLDO
0196061,POSTO BAUM / S. LEOPOLDO
0196088,HOSPITAL SÃO JOSÉ / DOIS IRMÃOS
0196096,FISIO ARTE - CENTRO INTEGRADO DE REEDUCAÇÃO  FUNCIONAL
0196118,HOSPITAL GERAL
0196126,POSTO DE SAUDE DE HERVEIRAS
0196134,HOSPITAL SINIMBU
0196142,POSTO DE SAUDE DE SINIMBU
0196150,POSTO DE SAUDE DE PINHAL
0196169,POSTO DE SAUDE DE LINHA ALMEIDA
0196177,POSTO DE SAUDE
0196185,POSTO DE SAUDE
0196274,CLINICA JP RUBIN FACCO
0196304,LOIARA DAHMER ZORZO GONCALVES
0196320,JESSICA DE CASSIA NUNES MUNIZ
0196363,AMBULATORIO DE APOIO AO COVID 19
0196401,APAE CANOAS
0196568,DOCTORS DORO INSTITUTO ODONTOLOGICO
0196622,CENTRO DE ATENDIMENTO PARA COVID19 SAO NICOLAU
0196835,CENTRAL MUNICIPAL DE REDE DE FRIO DE CRUZ ALTA
0196851,CENTRO DE TRIAGEM COVID 19
0196967,BEACHMED SERVICOS MEDICOS E AMBULATORIAIS LTDA
0196983,VISIOCLEAN
0196991,FARMACIAS SAO JOAO
0197009,FARMACIAS SAO JOAO
0197017,PAZZINI MARQUESI SERVICOS MEDICOS
0197025,SAO JOAO FARMACIAS
0197033,SAO JOAO FARMACIAS
0197041,SAO JOAO FARMACIAS
0197068,SAO JOAO FARMACIAS
0197181,CENTRO DE ABASTECIMENTO SAO JOSE DO NORTE
0197211,CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19
0197238,CENTRO DE IMUNIZACAO SAO JOSE DO NORTE
0197645,CLINICA DE CIRURGIA PLASTICA DR CARLO MATTIELLO LTDA
0197971,MARCOPOLO SA
0197998,GRAMADOZOO
0198080,JANAINA LIMA
0198455,CENTRAL DE REDE DE FRIO SMS SAO LOURENCO DO SUL
0198536,SERSIM SERVICOS TECNICOS
0198765,JBS AVES LTDA
0198870,CENTRAL DE REDE DE FRIO
0198927,ANDRE PERETTI TORELLY
0198951,PRO FITNESS ACADEMIA
0199044,AMBULATORIO COVID 19 CAMAQUA
0199109,AMBULATORIO COVID 19
0199206,BERNARDI EXPRESS
0199230,CENTRO COMUNITARIO DE REFERENCIA PARA ENFRENTAMENTO A COVID
0199362,SAO JOAO FARMACIAS
0199370,OFICINA DA SAUDE
0199508,CENTER FISIO
0199710,MARCELO LOPES OLIVEIRA
0199818,CONSULTORIO MEDICO EDUARDO DALBERTO E MATEUS SEVERO
0199826,ORQUIDEA ALIMENTOS
0199982,CENTRAL REGIONAL DE REDE DE FRIO DA 9 CRS CRUZ ALTA
0200360,SAO JOAO FARMACIAS
0200867,FHARMAC
0201049,NEURO ARTICOLARE
0201103,CLINICA MEDICA DR MAURICIO DE QUADROS
0203432,TALICE FERNANDA GHION PSICOLOGA
0204277,MORETTO CLINICA ODONTOLOGICA EIRELI
0204315,SAO JOAO FARMACIAS
0204412,PATRICIA MEES PSICOLOGIA
0204447,CONSULTORIO ODONTOLOGICO SESC BAGE
0204706,CENTRO DE ENFRENTAMENTO AO COVID
0205001,CENTRO DE REFERENCIA MUNICIPAL DO COVID 19 CORONAVIRUS
0205052,ALPI CLINICA ODONTOLOGICA
0205621,SESC CACAPAVA DO SUL
0206822,FISA ANESTESISTAS ASSOCIADOS
0206873,FRANCISCO COSTA PAIXAO
0206903,VR SERVICOS MEDICOS LTDA
0207594,AMBULATORIO DE ATENDIMENTO COVID 19
0207675,ANA PAULA POZZA JAPUR
0207683,CLINICA MEDICA E ODONTOLOGICA AMOR E SAUDE
0209058,UNIDADE DE ATENDIMENTO COVID 19
0209147,SORTE SERVICOS EM ORTOPEDIA E TRAUMATOLOGIA LTDA
0209236,BARBARA DA SILVA MEYER
0209260,VITA SOCIALIS
0209384,MARCILENE KNIEST RECK
0209430,CLAUDIA VIEIRA
0209635,CLINICA ESPECIALIZADA DENTAL MED
0209686,LIFE URGENCIAS E EMERGENCIAS
0209805,CLINICA EMPATHIE
0209910,HD 360 MOINHOS
0210218,TELLES LEITES CLINICA MEDICA LTDA
0210420,ACC LABORATORIOS
0210455,BARBARA DANIELA SCHNEIDER
0211095,CEUSC CENTRO ESPECIALIZADO DE ULTRASSONOGRAFIA DE SANTO CRIS
0211214,APAE
0211346,RAFAEL GONCALVES NUNES SERVICOS MEDICOS
0211419,HOSPITAL DE AERONAUTICA DE CANOAS
0211494,SAO JOAO FARMACIAS FILIAL 09
0211508,WEBER REMOCOES EVENTOS E HOME CARE
0211516,CENTRO DE ENFRENTAMENTO A COVID 19
0211524,CLINIVITTA MEDCARE
0211532,LECI MARIA SORIANO BOBSIN CORREA
0211540,CLINICA SAUDE ANIMAL
0211559,CLINICA MEDICA VITAL SAUDE SOCIEDADE SIMPLES LTDA
0211567,CATIA LETICIA DUTRA GODOI
0211575,MARILDA BOLOGNESI LIBARDI
0211583,ROSSANA KARLA SOARES BEZERRA
0211591,CENTRO DE TRIAGEM COVID
0211737,TEDMED CLINICA MEDICA
0211753,RIDERE ODONTOLOGIA INTEGRADA
0211796,SM SERVICOS DE RADIOLOGIA ODONTOLOGICA
0211869,SAO JOAO FARMACIAS
0211915,SPORTPHARMA
0212148,SESC CACHOEIRA DO SUL
0212156,ELISANDRA FREITAS DA SILVA
0212318,SAO JOAO FARMACIAS
0212326,FARMACIAS MELHOR PRECO
0212369,CLINICA DI BEM
0212423,SOREN FRAZN MARIAN CHICATA SUTMOLLER
0212598,FARMACIAS SAO JOAO
0212822,ISADORA CLINICA ODONTOLOGICA
0212881,SUELEN FIALHO GARCIAS
0213039,SAO JOAO FARMACIAS 37
0213063,SULFISIO
0213136,SAO JOAO FARMACIAS
0213187,ROSSANA CARVALHO FISIOTERAPIA E PILATES
0213349,INSTITUTO DE CIENCIAS BASICAS DA SAUDE DA UFRGS ICBS
0213691,SAO JOAO FARMACIAS 24
0213748,SAO JOAO FARMACIAS
0214159,UNIDADE BASICA DE SAUDE EHRHART FRANCISCO THEIL
0214558,LABORATORIO CELULLA
0214663,CENTRO DE ATENDIMENTO AO COVID19 JAGUARAO
0214965,SAO JOAO FARMACIAS
0215074,UNIDADE DE SAUDE DA FAMILIA ZILDO SIPPEL
0215120,PRISCILA WEBBER BASEGGIO
0215139,SAO JOAO FARMACIAS
0215147,BALDUR DELLA COSTA DE CASTRO
0215449,UNIDADE COVID SENTINELA
0215554,CONSULTORIO ODONTOLOGICO MONICA BARDEMAKER
0215562,CIRCULO SAUDE
0215678,SAO JOAO FARMACIAS
0215716,PETALA ATIVIDADES MEDICAS
0216488,ORION
0216534,DRUMMOND CLINICA MEDICA LTDA
0216607,CENTRO DE ATENDIMENTO AO COVID19
0216674,SAO JOAO FARMACIAS
0216682,UROMED
0216739,BARBARA SCHNEIDER EISELE SERVICOS MEDICOS
0216798,SAO JOAO FARMACIAS
0216828,SAO JOAO FARMACIAS
0216836,SAO JOAO FARMACIAS
0216895,DF SERVICOS DE DIAGNOSTICO
0216909,SAO JOAO FARMACIAS
0217034,FRANCINE LOPES PETRY
0218057,PATRICIA GOULART SESSEGOLO
0218065,POSTO DE SAUDE BGV II
0218324,UNIDADE BASICA E ESPECIALIZADA DARY HOFF
0218383,CONSULTORIO DE FISIOTERAPIA LIA RIBEIRO COSTA
0218545,CLINICA DE FISIOTERAPIA PATRICIA SPASIN LTDA
0219231,SAO JOAO FARMACIAS
0219355,SAO JOAO FARMACIAS
0219878,KARIN PONCELET
0219886,AFFONSO SANTOS VITOLA
0219959,F T LABORATORIO
0219991,CLINICA DE RESSONANCIA MAGNETICA PIANCA FERNANDES
0220051,CAIS CENTRO DE ATENDIMENTO INTEGRADO A SAUDE
0220078,AMBULATORIO COVID
0220310,SAO JOAO FARMACIAS
0220329,SAO JOAO FARMACIAS
0220515,CENTRO DE ATENDIMENTO PARA ENFRENTAMENTO A COVID 19
0220604,VILARICA DIAGNOSTICO PRO SAUDE FILIAL ALVORADA
0220663,CENTRO DE ATENDIMENTO PARA O ENFRENTAMENTO AO COVID 19
0220698,FISIOCLIN
0220795,GISELE GHIGGI
0220841,LABORATORIO ACQUALAB
0220914,SAO JOAO FARMACIAS
0220965,PRONTO ATENDIMENTO ZONA NORTE
0221066,CENTRO INTEGRATIVO DE ATENCAO EM SAUDE
0221341,AMBULATORIO COVID 19 VARZEA
0221538,SAO JOAO FARMACIAS
0221554,VITALIZE
0221678,ODONTO RAUBER
0221716,CENTRO CLINICO MAIS SAUDE
0221732,ACADEMIA DE SAUDE CALCADAO
0221767,SANAR LIMA E SILVA
0221929,MED SAUDE LTDA
0222038,CLINICA PONTUAL
0222046,SAO JOAO FARMACIAS
0222054,MBDCARDIO
0222062,CENTRO DE ATENDIMENTO PARA O ENFRENTAMENTO DA COVID 19
0222119,DANIELE MARIA FENSTERSEIFER
0222135,MB FARMACIAS
0222453,L C ATIVIDADES DE ENFERMAGEM LTDA
0223050,G C SERVICOS DE SAUDE EIRELI
0223107,ECOSSON RESSON
0223220,ACADEMIA DE SAUDE DE TRAVESSEIRO
0223379,SAO JOAO FARMACIAS
0223654,MADAL
0223697,GABRIELLI ZANOTTO DE OLIVEIRA
0223719,SAO JOAO FARMACIAS
0224197,SAO JOAO FARMACIAS
0224243,FELIPE PEREIRA LIMA MARQUES
0224316,RENATA SILVA
0224324,CONSULTORIO MEDICO SABRINA RIBAS FREITAS
0224332,SAO JOAO FARMACIAS
0224340,SAO JOAO FARMACIAS
0224456,SAO JOAO FARMACIAS
0224480,SAO JOAO FARMACIAS
0224812,SAO JOAO FARMACIAS
0225185,SAO JOAO FARMACIAS
0225398,ECCOS
0225541,BENVEGNU DERMATOLOGIA
0225606,SAO JOAO FARMACIAS
0225754,SAO JOAO FARMACIAS
0225983,ELAINE MARCHIONNI
0226076,SAO JOAO FARMACIAS
0226149,POLO BASE OSORIO
0226203,SAO JOAO FARMACIAS
0226211,SAO JOAO FARMACIAS
0226270,SARAIVA SERVICOS MEDICOS
0226521,MARCELO INAZACKI RANGEL
0226696,ANDRESSA RUCK DOS SANTOS
0226866,MICHELLE CARVALHO DE FARIAS NUNES SURIZ
0226882,SAO JOAO FARMACIAS
0226904,SAO JOAO FARMACIAS
0227048,FARMACIA SAO JOAO
0227307,SAO JOAO FARMACIAS
0227420,SAO JOAO FARMACIAS
0227447,SAO JOAO FARMACIAS
0227641,STUDIO ANDREA BARDELOTTO MACIEL
0227951,ADRIANE OLIVEIRA DOS SANTOS
0228052,FARMACIA PUBLICA MUNICIPIO DE SOBRADINHO RS
0228109,CENTRO DE TRIAGEM COVID 19
0228184,AMECLIN
0228222,SAO JOAO FARMACIAS
0228400,RCV HOME CARE LEVANDO CUIDADO A VOCE
0228435,ASSOCIACAO DE PAIS E AMIGOS DO AUTISTA DE FARROUPILHA RS
0228478,SAO JOAO FARMACIAS
0228540,SAO JOAO FARMACIAS
0228567,ACADEMIA DE SAUDE PRACA CENTRAL
0228575,APAE
0228850,CHRISTINA NASCIMENTO DE QUEIROZ PENNA
0228893,INSTITUTO MEDERI DE PESQUISA E SAUDE
0229245,CLINICA BRAGATTI
0229474,CORPO E TERAPIA CLINICA DE FISIOTERAPIA LTDA
0229504,SAO JOAO FARMACIAS
0229512,SAO JOAO FARMACIAS EV 05
0229520,SAO JOAO FARMACIAS EV 01
0229539,SAO JOAO FARMACIAS EV 03
0229547,SAO JOAO FARMACIAS EV 06
0229555,SAO JOAO FARMACIAS EV 02
0229644,SAO JOAO FARMACIAS
0229695,FRANCINE GIRARDI
0229946,ALINE DAL POZZO ANTUNES
0230030,SAO JOAO FARMACIAS
0230073,SECRETARIA DA SAÚDE
0230081,POSTO MEDICO
0230103,POSTO DE SAUDE
0230111,HOSPITAL SARMENTO LEITE
0230138,POSTO DE SAÚDE  ARROIO DOS RATOS
0230146,SOCIEDADE BENEFICIENTE HOSPITAL SÃO JOSÉ
0230154,POSTO ARROIO CANOAS
0230162,POSTO DE SAÚDE
0230170,UNIDADE SANITÁRIA BARÃO DO TRIUNFO
0230189,LABORATÓRIO HEMOCEL LTDA
0230197,POSTO DE SAÚDE DOURADILHO
0230200,POSTO DE SAÚDE SERRINHA
0230219,CS UNIDADE BÁSICA
0230227,CS POSTO MUNICIPAL 24 HORAS
0230235,HOSPITAL SAO JOAO
0230243,POSTO DE SAÚDE
0230251,POSTO DE SAÚDE NOVO PARIS
0230278,POSTO DE SAÚDE LINHA PINHEIRO MACHADO
0230286,POSTO DE SAÚDE CENTRAL
0230294,POSTO DE SAÚDE PARECI VELHO
0230308,AMBULATÓRIO
0230316,FUNDAÇÃO DE SAÚDE SÃO JOSÉ
0230324,FISIOBUTIÁ
0230332,POSTO DE SAÚDE CAMBARÁ DO SUL
0230340,SINDICATO RURAL
0230359,EUCLIDES GONÇALVES BRAZEIRO
0230367,POSTO 24 HORAS
0230375,SECRETARIA MUNICIPAL DE SAÚDE E ASSISTÊNCIA SOCIAL
0230383,HOSPITAL SAO JOSE
0230391,POSTO ITAÍ
0230405,POSTO DE SAÚDE DISTRITO
0230413,POSTO DE SAÚDE PICADA
0230421,POLICLINICA CENTRAL
0230448,POSTO LOTEAMENTO
0230456,POSTO DE SAUDE SANS SOUCI
0230464,SECRETARIA MUNICIPAL DA SAÚDE
0230472,HOSPITAL DE BUTIÁ
0230480,POSTO DE SAÚDE MATE DOCE
0230499,POSTO TRES VENDAS
0230502,CENTRO DE SAUDE
0230510,ANDRE SCHERER
0230529,CONSULTORIO ODONTOLOGICO
0230537,LABORATÓRIO SAGRADA FAMILIA LTDA
0230545,HOSPITAL E ASILO SAGRADA FAMILIA
0230553,LABORATÓRIO TRÊS COROAS
0230561,HOSPITAL DR. OSWALDO DIESEL
0230588,CENTRO MUNICIPAL DE SAUDE
0230596,POSTO MUNICIPAL DE SAÚDE DE SANDER
0230618,POSTO MUNICIPAL DE SAÚDE DA LINHA 28
0230626,HOSPITAL DE CHARQUEADAS
0230634,SÃO MIGUEL
0230642,SESI
0230650,BEIRA RIO
0230669,SANTO ANTONIO
0230677,ORVALINO DORNELES
0230685,CENTRAL
0230693,SUL AMÉRICA
0230707,PIRATINI
0230715,VICENTE PINTO
0230723,PADU
0230731,LABORATÓRIO CHARQUEADAS
0230758,AMPLITUDE
0230766,CLINITEST LABORATÓRIO DE ANÁLISES CLÍNICAS
0230774,HOSPITAL NOSSA SENHORA DO LIVRAMENTO
0230782,RADCLIN
0230790,UNILAB
0230804,BOLEK ANÁLISES CLÍNICAS
0230812,LABORATÓRIO WEINMANN LTDA.
0230820,LABORATÓRIO MARQUES ALMEIDA
0230839,LABORATÓRIO FAILLACE (FRANQUIA)
0230847,DARCY ARAÚJO RODRIGUES
0230855,EDUARDO ANDRÉ KUPPER TERNER
0230863,NILTON VOLQUIND
0230871,LUZMARINA AMARAL
0230898,ROBERTO BANDEIRA BERBIGIER
0230901,VALTER RUBENS MACEDO JUNIOR
0230928,LABORATÓRIO LAIFER LTDA.
0230936,FISIOTERAPIA BIOSTETICA
0230944,CLÍNICA DE FISIOTERAPIA SANTA RITA
0230952,FISIOVIDA
0230960,CLÍNICAS REUNIDAS
0230979,EEG CLIN LTDA
0230987,SONAR
0230995,SIDI MEDICINA POR IMAGEM
0231002,CLINITRAUMA
0231010,CENTRO CLÍNICO GAÚCHO
0231029,OTOCLIN
0231037,UNIMED CENTRO SUL
0231045,PRODENTAL
0231053,SERVIÇO DE EEG GUAÍBA LTDA.
0231061,PROATEN
0231088,LABORATÓRIO BOM PASTOR
0231096,LABORATÓRIO FALLER
0231118,HOSPITAL SÃO FRANCISCO DE ASSIS
0231126,RADIOCLIN
0231134,UNIDADE SANITÁRIA
0231142,CENTRAL
0231150,POSTO DE SAÚDE COHAB
0231169,POSTO DE SAÚDE LARANJEIRAS
0231177,POSTO DE SAÚDE SANTA CRISTINA DO PINHAL
0231185,POSTO DE SAÚDE MORRO DA PEDRA
0231193,POSTO SAÚDE CAIC
0231207,PRA-MAMÃE
0231215,POSTO DE SAÚDE VILA NOVA
0231223,LABORATÓRIO CHIESA
0231231,HOSPITAL SÃO SALVADOR
0231258,SINDICATO DOS TRABALHADORES RURAIS SALVADOR DO SUL
0231266,UNIDADE SANITÁRIA DE SALVADOR DO SUL
0231274,POSTO SAÚDE -  LINHA SÃO JOÃO
0231282,POSTO SAÚDE - LINHA COMPRIDA
0231290,FABIO VIVIAN
0231304,EDELGARD HOMMERDING
0231312,LABORATÓRIO GASPAR VIANA
0231320,UNIDADE MÓVEL DA SAÚDE
0231339,BIOANÁLISE SAALFELD
0231347,SOCIEDADE HOSPITALAR DE CARIDADE DE TAQUARA
0231355,POSTO MUNICIPAL VILA OSWALDO KROEFF
0231363,POSTO DE SAUDE VILA SANTANA
0231371,LABORATÓRIO BOM PASTOR LTDA
0231398,LABORATÓRIO LEUCKERT LTDA
0231401,HB ANÁLISES CLÍNICAS S/C LTDA
0231428,LABORATÓRIO LEUCKERT
0231436,LABORATÓRIO PRÓ-VIDA
0231444,CASA DE SAÚDE DR. FAIOCK LTDA
0231452,CENTRO NEFROLÓGICO DE TAQUARA LTDA
0231460,SOCIEDADE PORTUGUESA DE BENEFICIÊNCIA
0231479,MILTON MOREIRA MUSSI
0231487,VERA MARIA DA CUNHA PEREIRA
0231495,MARIA DE LOURDES DALLIES ALVES
0231509,MARIA HELENA OSORIO GUERREIRO
0231517,HOSPITAL MIGUEL PILTCHER
0231525,LABORATORIO OSWALDO CRUZ
0231533,LORENA COELHO MARQUES
0231541,HOSPITAL ESPIRITA DE PELOTAS
0231568,GARRI TRAPAGA VIANNA
0231576,JOAO ALFREDO COSTA DA SILVEIRA
0231584,MARIA DE FATIMA SANTOS FERREIRA
0231592,CTSUL
0231606,DIRMAR PRIETTO
0231614,ANTONIO FRANCISCO SANTOS GULARTE
0231622,VISSOM
0231630,EDER BASTOS MORAES
0231649,DRA VERA MARIA KRAUSE
0231657,IANY NORIS RIBEIRO CARRICO
0231665,CLAUDIO FERREIRA SANCHES
0231673,LIVIO LOUZADA LUZ FILHO
0231681,COZETE CONCEIÇAO AZEVEDO
0231703,LUIZ OTAVIO MOREIRA DE ABREU
0231711,MARLENE CALCAGNO REINHARDT
0231738,MARIA LUIZA PROTO
0231746,SERGIO JOSE MAFFEI
0231754,LOTHAR COSWIG
0231762,TEREZINHA DE JESUS DOS SANTOS LOPES
0231770,EVELISE RIBEIRO
0231789,PEDRO JUVENAL TRINDADE
0231797,CLARICE FARIAS COLLARES
0231800,ROSA GRINBERG
0231819,LABORATORIO BIRCK
0231827,NEPHRON
0231835,CDR
0231843,CLINIMAGEM DIAGNOSTICO POR IMAGEM LTDA
0231851,INSTITUTO DE PNEUMOLOGIA LTDA
0231878,LABORATORIO BIOCLINICO DR MAURICIO  A  L GUIMARAES
0231886,CLINICA DE ULTRA-SOM DRA SILVIA SERRES
0231894,FAU
0231908,CLINICA OLIVE LEITE SA
0231916,LILIA BROD MANTA
0231924,TANIA MARIA DUTRA DA SILVA
0231932,JOSE CARLOS PINHEIRO DA SILVA
0231940,LUIZ HENRIQUE LOREA DE LOREA
0231959,CEMEFIR
0231967,JOSE XAVIER DE FREITAS NETO
0231975,ROSANIE ZECHLINSKI XAVIER DE FREITAS
0231983,LORIEN TEREZINHA MACIEL
0231991,SONIA MARIA VASCONCELOS DA SILVA
0232009,VALDEMIRO BIDIGARAY
0232017,MANOEL SIMOES REZENDE
0232025,LABORATORIO UNIAO DE ANALISES CLINICAS
0232033,INSTITUTO DE REABILITAÇAO E FISIOTERAPIA LTDA.
0232041,INSTITUTO DE MEDICINA FISICA E REABILITAÇAO LTDA
0232068,LABORATORIO ANTONELLO
0232076,LABORATORIO DR DYRIO GORGOT E CIA LTDA
0232084,LABORATORIO MANOEL MAIA LTDA
0232092,LABORATORIO PINTO KANAAN
0232106,LAPACIT LTDA
0232114,LABORATORIO LEIVAS LANG
0232122,JOARI INACIO BENITES DOS REIS
0232130,LABORATORIO ROUGET
0232149,SERVIÇO ESPECIALIZADO  DE GINECOLOGIA LTDA.
0232157,NUCLEAR SUL -  IMAGEM CINTILOGRAFICA
0232165,POSTO DE SAUDE COHAB TABLADA I
0232173,CEDIMAGEM
0232181,POSTO DE SAUDE DA COLONIA TRIUNFO
0232203,POSTO DE SAUDE SANTA SILVANA
0232211,POSTO DE SAUDE VILA NOVA
0232238,POSTO DE SAUDE LEOCADIA
0232246,POSTO DE SAÚDE DE ACEGUÁ
0232254,SECRETARIA DA SAÚDE E AÇÃO SOCIAL - HN
0232262,PS ARVOREZINHA
0232270,PS STAND
0232289,PS VILA GAUCHA
0232297,PS CASTRO ALVES
0232300,SERVIÇO SAÚDE MENTAL
0232319,PAM I DR. MAURICIO INFANTINI FILHO
0232327,PS SAO MARTIN
0232335,UNIDADE MOVEL II
0232343,UNIDADE MOVEL I
0232351,PS PASSO DAS PEDRAS
0232378,PS INSTITUTO DE MENORES
0232386,PS PRADO VELHO
0232394,PS CAIC
0232408,PS CENTRO  SOCIAL URBANO
0232416,CENTRO DE SAUDE CAMILO GOMES
0232424,PS EDUARDO SÁ MONMANNY
0232432,MATHILDE FAYAD
0232440,SEDE DA SMSMA
0232459,LABORATORIO GRILLO LTDA
0232467,LABORATORIO DR. BARRILES L.S
0232475,LABORATORIO DRª IRIA
0232483,LABORATORIO SANTO ANTONIO
0232491,POSTO DE SAÚDE DO IBARÉ
0232505,PS DA VILA PROMORAR
0232513,HOSPITAL CARIDADE ERVAL SECO
0232521,CENTRO DE SAUDE DARIO LASSANCE (CANDIOTA)
0232548,PS VILA OPERARIA (CANDIOTA)
0232556,POSTO CENTRAL-SMSMA-DOM PEDRITO
0232564,CENTRO COMUN.VILA ARGENI (D.PEDRITO)
0232572,CENTRO COMUNITÁRIO SANTA RITA (D.PEDRITO)
0232580,PAM (DOM PEDRITO)
0232599,CIEP - DOM PEDRITO
0232602,ECOCLINICA
0232610,SERVIÇO DE RADIOLOGIA ROENTGEN
0232629,PS SERRILHADA DOM PEDRITO
0232637,LABORATORIO LAROCHE
0232645,LABORATORIO CIELO
0232653,FUNDAÇÃO MÉDICO HOSPITALAR
0232661,HOSPITAL DA COLONIA NOVA
0232688,EXAMES CARDIOLÓGICOS BAGÉ
0232696,LABORATÓRIO SABIN
0232718,LABORATORIO SANTANA
0232726,SECRETARIA  DE SAÚDE E AÇÃO SOCIAL CANDIOTA
0232734,UNIDADE SANITÁRIA CENTRAL DE TAQUARI
0232742,POSTO DE SAÚDE DO BAIRRO RINCÃO SÃO JOSÉ
0232750,POSTO DE SAÚDE DE COQUEIROS CLEMENTINA CAPELÃO
0232769,POSTO DE SAÚDE LÉO ALVIM FALLER
0232777,POSTO DE SAÚDE DO PRADO AMBRAPA
0232785,POSTO DE SAUDE DA COLÔNIA 20 DE SETEMBRO
0232793,LABORATÓRIO GRAMS PERINI
0232807,LABORATÓRIO BORN
0232815,HOSPITAL SÃO JOSÉ - TAQUARI
0232823,LABORATÓRIO ANALYSIS
0232831,LABORATÓRIO ESTRELA
0232858,POSTO DE SAÚDE MARMITT
0232866,POSTO DE SAÚDE  BOA UNIÃO
0232874,POSTO DE SAÚDE DO BAIRRO DAS INDUSTRIAS
0232882,UNIDADE MOVÉL DE ESTRELA
0232890,POSTO DE SAUDE DA COHAB 2
0232904,UNIDADE SANITÁRIA DE ESTRELA
0232912,HOSPITAL ESTRELA
0232920,LABORATÓRIO LAJEADO
0232939,LABORATÓRIO ESCOBAR
0232947,LABORATÓRIO AUXILIAR
0232955,LABORATÓRIO HERRMANN
0232963,HOSPITAL DE CONVENTOS
0232971,CENTRO HEMOTERÁPICO VALES TAQUARI E RIO PARDO
0232998,UNIDADE SANITÁRIA DE COQUEIRO BAIXO
0233005,HOSPITAL BRUNO BORN
0233013,CLINICA DO RIM
0235210,UNIDADE MATERNO INFANTIL CANGUCU
0235458,CRISTIANE DE PAULA VIEIRA
0235539,SAO JOAO FARMACIAS
0235598,DAIANE PRETTO
0235679,HENRIQUE PAZ DA SILVA
0235768,INSTITUTO MATERNO INFANTIL
0240842,ICAP INSTITUTO DE CARDIOLOGIA E PSIQUIATRIA LTDA
0240907,REDEPLUS ODONTOLOGIA E MEDICINA LTDA
0240923,FISIOPREV
0241113,RENATA AZAMBUJA AL ALAM
0241245,PREFEITURA MUNICIPAL CENTRO DE ATENDIMENTO COVID
0241296,SAO JOAO FARMACIAS
0241377,CAUANE SUSIN BORTOLINI
0241482,SAO JOAO FARMACIAS
0241555,APTA SAUDE
0241598,LIFECHECK
0241652,CHRYSALIIS PSICOLOGIA
0242012,SAO JOAO FARMACIAS
0242209,JTI BRASIL
0242276,JTI
0242306,FARMACIAS SAO JOAO
0242683,INSTITUTO TERAPEUTICO E ASSISTENCIAL ACOLHER
0242969,ANTONIO WAZ LOPES OPTOMETRIA
0243140,ROGER DULINSKI MONTANHA
0243205,SAO JOAO FARMACIAS
0243248,ODONTO INOVA
0243256,SAO JOAO FARMACIAS
0243299,CLAUDIA DAIANE TRENTIN LAMPETRT
0243310,FARMACIAS MELHOR PRECO
0243442,ORTOCLINICA
0243450,PROECO LTDA
0243469,CIMES
0243477,JAIR VARGAS OLIVEIRA
0243485,SECRETARIA MUNICIPAL DA SAUDE
0243493,POSTO SANTA MARIA
0243507,POSTO MUNDO NOVO
0243515,POSTO 17 DE JUNHO
0243523,POSTO PEGA FOGO -  TAQUARA
0243531,POSTO PADILHA
0243558,POSTO DA EMPRESA
0243566,POSTO PIAZITO
0243574,POSTO SANTA TERESINHA
0243582,POSTO SANTA CRUZ
0243590,POSTO RIO DA ILHA
0243604,POSTO FAZENDA FIALHO
0243612,CENTRO MUNICIPAL DE SAUDE
0243620,POSTO DE SAUDE DO ALTO ROLANTINHO
0243639,POSTO DE SAUDE DO BAIRRO RIO BRANCO
0243647,POSTO DE SAUDE DA FAZENDA PASSOS
0243655,POSTO DE SAUDE ALTO ROLANTE
0243663,POSTO DE SAUDE DA BOA ESPERANÇA
0243671,POSTO DE SAUDE DO BAIRRO IMOCASA
0243698,FUNDAÇÃO HOSPITALAR DE ROLANTE
0243701,LABORATÓRIO LORENZONI
0243728,UNIDADE SANITÁRIA
0243736,POSTO DE ASSISTÊNCIA MÉDICA
0243744,LABORATÓRIO BARTH
0243752,POSTO DE SAÚDE PORTO DO CONDE
0243760,LABORATÓRIO SÃO JERÔNIMO
0243779,HOSPITAL DE CARIDADE SÃO JERÔNIMO
0243787,HOSPITAL NOSSA SENHORA DO ROSÁRIO
0243795,LABORATÓRIO MOTTIN
0243809,HISTOMED
0243817,NETLAB LABORATÓRIO BIOCLÍNICO
